,DateTime,RealPower,Fecha,vacaciones,clases_verano,Min Temp (C),Max Temp (C),Avg Temp (C),Sunrise,Sunset,suma_final
197,2019-12-29 22:30:00,38.742,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
198,2019-12-29 22:15:00,38.82,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
199,2019-12-29 22:00:00,38.617,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
200,2019-12-29 21:45:00,38.27,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
201,2019-12-29 21:30:00,38.346,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
202,2019-12-29 21:15:00,38.363,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
203,2019-12-29 21:00:00,38.314,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
204,2019-12-29 20:45:00,38.732,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
205,2019-12-29 20:30:00,38.805,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
206,2019-12-29 20:15:00,38.972,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
207,2019-12-29 20:00:00,38.5,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
208,2019-12-29 19:45:00,38.676,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
209,2019-12-29 19:30:00,38.764,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
210,2019-12-29 19:15:00,38.754,2019-12-29,1.0,0.0,7.22,17.22,12.22,06:50:00,16:51:00,11:51:07
